date, pm25, pm10, o3, no2, so2, co
2019/4/18, 52, 29, 58, 4, 2, 
2019/4/19, 57, 25, 51, 3, 1, 
2019/4/20, 49, 24, 50, 4, , 
2019/4/21, 44, 29, 45, 3, 1, 
2019/4/22, 45, 44, 45, 3, 1, 
2019/4/23, 54, 39, 40, 4, 1, 
2019/4/24, 62, 26, 46, 4, , 
2019/4/25, 58, 25, 44, 6, 1, 
2019/4/26, 32, 20, 34, 3, , 
2019/4/27, 50, 10, 30, 3, , 
2019/4/28, 40, 13, 36, 3, , 
2019/4/29, 32, 13, 46, 5, , 
2019/4/30, 36, 22, 38, 3, , 
2019/5/1, 41, 16, 33, 3, , 
2019/5/2, 58, 11, 35, 3, , 
2019/5/3, 42, 7, 32, 3, , 
2019/5/4, 23, 6, 37, 4, , 
2019/5/5, 19, 9, 33, 4, , 
2019/5/6, 26, 10, 31, 3, , 
2019/5/7, 24, 15, 44, 7, 1, 
2019/5/8, 32, 11, 37, 4, , 
2019/5/9, 33, 14, 32, 6, 1, 
2019/5/10, 37, 13, 36, 4, 1, 
2019/5/11, 38, 9, 35, 2, , 
2019/5/12, 29, 11, 33, 3, , 
2019/5/13, 22, 10, 33, 2, 1, 
2019/5/14, 17, 12, 36, 2, , 
2019/5/15, 14, 10, 28, 3, , 
2019/5/16, 15, 13, 34, 6, 1, 
2019/5/17, 42, 17, 43, 4, 1, 
2019/5/18, 53, 17, 47, 5, 1, 
2019/5/19, 47, 19, 41, 3, 1, 
2019/5/20, 54, 18, 41, 3, 1, 
2019/5/21, 56, 14, 30, 3, , 
2019/5/22, 47, 13, 37, 3, 1, 
2019/5/23, 35, 16, 55, 6, 1, 
2019/5/24, 33, 12, 33, 3, , 
2019/5/25, 34, 12, 39, 3, 1, 
2019/5/26, 32, 15, 28, 4, 1, 
2019/5/27, 32, 14, 32, 3, 1, 
2019/5/28, 35, 16, 37, 2, , 
2019/5/29, 21, 14, 40, 4, 1, 
2019/5/30, 32, 11, 29, 4, 1, 
2019/5/31, 31, 20, 40, 4, 1, 
2019/6/1, 50, 24, 45, 3, 2, 
2019/6/2, 59, 17, 51, 3, 2, 
2019/6/3, 38, 24, 54, 3, 1, 
2019/6/4, 35, 28, 63, 5, 1, 
2019/6/5, 57, 25, 49, 4, 2, 
2019/6/6, 53, 15, 46, 3, 1, 
2019/6/7, 37, 15, 36, 2, 1, 
2019/6/8, 30, 15, 39, 2, 1, 
2019/6/9, 25, , 51, 3, 2, 
2019/6/12, 53, 13, 44, 3, 1, 
2019/6/13, 37, 12, 49, 4, 2, 
2019/6/14, 20, 24, 52, 3, 2, 
2019/6/15, 44, 14, 41, 2, 2, 
2019/6/16, 35, 18, 53, 4, 1, 
2019/6/17, 34, 21, 48, 3, 2, 
2019/6/18, 44, 21, 64, 4, 2, 
2019/6/19, 39, 15, 41, 4, 2, 
2019/6/20, 36, 17, 38, 3, 2, 
2019/6/21, 36, 21, 42, 2, 2, 
2019/6/22, 39, 20, 44, 1, 2, 
2019/6/23, 26, 19, 51, 3, 2, 
2019/6/24, 28, 32, 64, 4, 2, 
2019/6/25, 33, 34, 78, 5, 2, 
2019/6/26, 54, 21, 35, 1, 1, 
2019/6/27, 41, 21, 36, 2, , 
2019/6/28, 31, 24, 45, 3, 1, 
2019/6/29, 40, 24, 69, 4, 1, 
2019/6/30, 40, 22, 43, 2, , 
2019/1/1, 46, 7, 27, 3, , 
2019/1/2, 17, 6, 19, 5, , 
2019/1/3, 17, 12, 18, 5, , 
2019/1/4, 41, 8, 22, 1, , 
2019/1/5, 30, 9, 16, 3, , 
2019/1/6, 30, 10, 18, 6, , 
2019/1/7, 41, 6, 26, 3, , 
2019/1/8, 29, 3, 24, 1, , 
2019/1/9, 8, 3, 23, 3, , 
2019/1/10, 11, 11, 25, 5, , 
2019/1/11, 32, 11, 27, 2, , 
2019/1/12, 40, 4, 30, 1, , 
2019/1/13, 17, 4, 29, 1, , 
2019/1/14, 13, 8, 25, 3, , 
2019/1/15, 19, 12, 17, 5, , 
2019/1/16, 41, 10, 26, 5, , 
2019/1/17, 42, 6, 26, 4, , 
2019/1/18, 21, 20, 18, 9, , 
2019/1/19, 40, 33, 15, 10, , 
2019/1/20, 86, 32, 15, 8, , 
2019/1/21, 93, 38, 14, 14, , 
2019/1/22, 104, 50, 19, 12, 1, 
2019/1/23, 124, 42, 20, 6, , 
2019/1/24, 121, 36, 16, 7, , 
2019/1/25, 104, 26, 12, 10, , 
2019/1/26, 87, 11, 18, 5, , 
2019/1/27, 46, 7, 18, 6, , 
2019/1/28, 28, 10, 22, 6, , 
2019/1/29, 39, 16, 19, 10, , 
2019/1/30, 53, 26, 11, 12, , 
2019/1/31, 73, 42, 15, 15, , 
2019/2/1, 96, 47, 12, 7, , 
2019/2/2, 121, 39, 15, 3, , 
2019/2/3, 114, 19, 19, 7, , 
2019/2/4, 68, 15, 18, 7, , 
2019/2/5, 58, 19, 16, 9, , 
2019/2/6, 63, 17, 18, 10, , 
2019/2/7, 62, 16, 23, 6, , 
2019/2/8, 55, 8, 30, 4, , 
2019/2/9, 33, 5, 27, 3, , 
2019/2/10, 18, 4, 28, 2, , 
2019/2/11, 15, 6, 30, 4, , 
2019/2/12, 16, 24, 15, 7, , 
2019/2/13, 54, 23, 20, 10, , 
2019/2/14, 75, 24, 14, 16, 1, 
2019/2/15, 66, 20, 21, 13, , 
2019/2/16, 61, 28, 16, 13, , 
2019/2/17, 70, 32, 16, 16, , 
2019/2/18, 84, 26, 27, 8, , 
2019/2/19, 74, 17, 24, 5, , 
2019/2/20, 53, 23, 24, 7, , 
2019/2/21, 66, 15, 30, 3, , 
2019/2/22, 59, 14, 27, 7, , 
2019/2/23, 40, 26, 24, 11, , 
2019/2/24, 68, 27, 21, 12, , 
2019/2/25, 73, 40, 19, 11, , 
2019/2/26, 90, 42, 21, 14, , 
2019/2/27, 114, 44, 17, 10, , 
2019/2/28, 88, 45, 25, 5, , 
2019/3/1, 119, 21, 27, 5, , 
2019/3/2, 68, 16, 24, 4, , 
2019/3/3, 58, 8, 34, 3, , 
2019/3/4, 33, 8, 30, 4, , 
2019/3/5, 30, 11, 26, 7, , 
2019/3/6, 45, 8, 31, 5, , 
2019/3/7, 35, 6, 32, 4, , 
2019/3/8, 15, 7, 36, 3, , 
2019/3/9, 25, 6, 33, 2, , 
2019/3/10, 22, 6, 29, 3, , 
2019/3/11, 24, 9, 32, 3, , 
2019/3/12, 30, 6, 32, 4, , 
2019/3/13, 25, 5, 30, 3, , 
2019/3/14, 16, 6, 35, 3, , 
2019/3/15, 18, 6, 33, 3, , 
2019/3/16, 18, 5, 32, 2, , 
2019/3/17, 20, 5, 32, 3, , 
2019/3/18, 18, 7, 31, 3, , 
2019/3/19, 20, 14, 34, 7, , 
2019/3/20, 36, 24, 22, 7, , 
2019/3/21, 66, 25, 18, 9, , 
2019/3/22, 77, 31, 21, 5, , 
2019/3/23, 82, 24, 33, 4, , 
2019/3/24, 76, 9, 33, 4, , 
2019/3/25, 36, 7, 32, 3, , 
2019/3/26, 29, 8, 29, 3, , 
2019/3/27, 31, 10, 23, 3, , 
2019/3/28, 41, 15, 25, 6, , 
2019/3/29, 50, 17, 34, 6, , 
2019/3/30, 53, 23, 35, 3, , 
2019/3/31, 65, 21, 34, 8, , 
2018/10/1, 45, 10, 20, 4, , 
2018/10/2, 28, 7, 28, 1, , 
2018/10/3, 22, 11, 21, 6, , 
2018/10/4, 25, 17, 29, 7, , 
2018/10/5, 48, 22, 31, 7, , 
2018/10/6, 55, 18, 26, 5, , 
2018/10/7, 54, 13, 25, 8, , 
2018/10/8, 33, 28, 20, 11, , 
2018/10/9, 51, 35, 34, 14, , 
2018/10/10, 76, 42, 42, 8, , 
2018/10/11, 81, 44, 35, 10, , 
2018/10/12, 83, 40, 41, 9, , 
2018/10/13, 86, 39, 40, 3, , 
2018/10/14, 84, 43, 31, 8, , 
2018/10/15, 74, 59, 27, 19, 1, 
2018/10/16, 86, 64, 31, 18, , 
2018/10/17, 105, 54, 15, 8, , 
2018/10/18, 119, 27, 25, 7, , 
2018/10/19, 62, 24, 28, 5, , 
2018/10/20, 62, 18, 24, 4, , 
2018/10/21, 52, 17, 23, 7, , 
2018/10/22, 52, 9, 22, 3, , 
2018/10/23, 34, 8, 31, 3, , 
2018/10/24, 21, 7, 27, 2, , 
2018/10/25, 21, 11, 23, 6, , 
2018/10/26, 27, 10, 24, 2, , 
2018/10/27, 40, 6, 19, 1, , 
2018/10/28, 21, 7, 20, 2, , 
2018/10/29, 21, 25, 21, 5, , 
2018/10/30, 53, 13, 21, 5, , 
2018/10/31, 31, 22, 8, 13, , 
2018/11/1, 52, 19, 18, 10, , 
2018/11/2, 60, 23, 13, 7, , 
2018/11/3, 60, 31, 6, 7, , 
2018/11/4, 81, 39, 10, 11, 1, 
2018/11/5, 103, 34, 15, 10, , 
2018/11/6, 92, 36, 7, 11, , 
2018/11/7, 86, 34, 7, 12, , 
2018/11/8, 87, 27, 5, 10, 1, 
2018/11/9, 76, 28, 8, 8, 1, 
2018/11/10, 87, 26, 9, 7, 1, 
2018/11/11, 81, 15, 9, 9, , 
2018/11/12, 56, 12, 16, 9, , 
2018/11/13, 48, 19, 16, 9, , 
2018/11/14, 51, 19, 10, 13, , 
2018/11/15, 63, 22, 16, 7, , 
2018/11/16, 66, 25, 14, 6, , 
2018/11/17, 72, 31, 12, 4, 1, 
2018/11/18, 87, 15, 17, 2, , 
2018/11/19, 54, 18, 17, 3, , 
2018/11/20, 52, 28, 13, 4, , 
2018/11/21, 79, 30, 14, 6, , 
2018/11/22, 89, 34, 9, 9, , 
2018/11/23, 96, 37, 1, 9, , 
2018/11/24, 101, 40, 2, 7, , 
2018/11/25, 110, 32, 13, 4, , 
2018/11/26, 102, 23, 5, 11, , 
2018/11/27, 74, 21, 20, 11, , 
2018/11/28, 68, 28, 17, 7, , 
2018/11/29, 70, 25, 16, 8, 1, 
2018/11/30, 71, 25, 11, 9, , 
2018/12/1, 70, 15, 12, 6, , 
2018/12/2, 68, 6, 17, 6, , 
2018/12/3, 23, 6, 24, 4, , 
2018/12/4, 23, 9, 15, 10, 1, 
2018/12/5, 25, 10, 12, 10, , 
2018/12/6, 38, 9, 18, 6, , 
2018/12/7, 38, 3, 25, 3, , 
2018/12/8, 16, 2, 28, 1, , 
2018/12/9, 9, 3, 28, 2, , 
2018/12/10, 10, 4, 19, 2, , 
2018/12/11, 14, 5, 13, 5, , 
2018/12/12, 19, 13, 10, 4, , 
2018/12/13, 40, 18, 10, 6, , 
2018/12/14, 57, 19, 12, 4, , 
2018/12/15, 64, 22, 14, 4, , 
2018/12/16, 70, 25, 6, 11, , 
2018/12/17, 77, 22, 7, 13, , 
2018/12/18, 74, 18, 11, 10, , 
2018/12/19, 64, 21, 4, 12, , 
2018/12/20, 69, 12, 19, 6, , 
2018/12/21, 51, 6, 26, 4, , 
2018/12/22, 19, 9, 19, 4, , 
2018/12/23, 35, 8, 19, 2, , 
2018/12/24, 33, 5, 20, 2, , 
2018/12/25, 23, 12, 21, 4, , 
2018/12/26, 34, 15, 13, 6, , 
2018/12/27, 58, 14, 19, 5, , 
2018/12/28, 56, 16, 9, 12, , 
2018/12/29, 55, 8, 28, 2, , 
2018/12/30, 36, , , , , 
2018/7/1, 19, 13, 34, 3, , 
2018/7/2, 11, 16, 45, 4, , 
2018/7/3, 15, 23, 68, 4, , 
2018/7/4, 22, 30, 65, 3, , 
2018/7/5, 39, 19, 36, 1, , 
2018/7/6, 32, 18, 36, 1, , 
2018/7/7, 30, 22, 33, 1, , 
2018/7/8, 35, 20, 29, 2, , 
2018/7/9, 40, 24, 29, 2, , 
2018/7/10, 34, 19, 41, 3, , 
2018/7/11, 43, 15, 25, 3, , 
2018/7/12, 37, 21, 37, 3, , 
2018/7/13, 50, 20, 30, 3, , 
2018/7/14, 54, 27, 32, 4, , 
2018/7/15, 54, 27, 41, 5, , 
2018/7/16, 44, 33, 40, 6, , 
2018/7/17, 57, 31, 44, 4, , 
2018/7/18, 58, 33, 39, 2, , 
2018/7/19, 46, 41, 47, 6, , 
2018/7/20, 49, 46, 46, 4, , 
2018/7/21, 54, 40, 57, 3, , 
2018/7/22, 57, 30, 38, 3, , 
2018/7/23, 58, 31, 34, 5, , 
2018/7/24, 44, 36, 36, 4, , 
2018/7/25, 49, 32, 39, 3, , 
2018/7/26, 42, 33, 41, 2, , 
2018/7/27, 49, 27, 54, 4, , 
2018/7/28, 57, 21, 42, 3, , 
2018/7/29, 56, 20, 60, 5, , 
2018/7/30, 53, 25, 71, 5, , 
2018/7/31, 51, 25, 45, 4, , 
2018/8/1, 53, 22, 42, 2, , 
2018/8/2, 44, 34, 66, 6, , 
2018/8/3, 47, 38, 67, 6, , 
2018/8/4, 55, 28, 32, 3, , 
2018/8/5, 37, 27, 37, 4, , 
2018/8/6, 30, 32, 67, 5, , 
2018/8/7, 37, 34, 72, 5, , 
2018/8/8, 44, 33, 75, 3, , 
2018/8/9, 61, 21, 36, 4, , 
2018/8/10, 46, 12, 36, 4, , 
2018/8/11, 25, 17, 44, 4, , 
2018/8/12, 28, 20, 47, 6, , 
2018/8/13, 36, 16, 28, 3, , 
2018/8/14, 34, 20, 32, 2, , 
2018/8/15, 30, 23, 46, 6, , 
2018/8/16, 42, 39, 58, 5, , 
2018/8/17, 52, 35, 39, 4, , 
2018/8/18, 49, 34, 53, 4, , 
2018/8/19, 50, 38, 31, 5, , 
2018/8/20, 53, 39, 30, 2, , 
2018/8/21, 36, 35, 43, 5, , 
2018/8/22, 37, 37, 66, 7, , 
2018/8/23, 47, 31, 30, 4, , 
2018/8/24, 56, 19, 27, 4, , 
2018/8/25, 40, 10, 31, 3, , 
2018/8/26, 20, 27, 28, 5, , 
2018/8/27, 31, 24, 28, 2, , 
2018/8/28, 38, 27, 48, 8, , 
2018/8/29, 45, 27, 32, 5, , 
2018/8/30, 56, 16, 28, 3, , 
2018/8/31, 44, 18, 35, 4, , 
2018/9/1, 37, 16, 35, 2, , 
2018/9/2, 44, 20, 46, 2, , 
2018/9/3, 45, 21, 40, 3, , 
2018/9/4, 48, 22, 39, 1, , 
2018/9/5, 47, 26, 43, 3, , 
2018/9/6, 54, 24, 40, 5, , 
2018/9/7, 60, 19, 33, 6, , 
2018/9/8, 45, 37, 44, 6, , 
2018/9/9, 65, 26, 38, 9, , 
2018/9/10, 45, 32, 36, 5, , 
2018/9/11, 44, 31, 26, 4, , 
2018/9/12, 36, 16, 19, 3, , 
2018/9/13, 27, 23, 27, 4, , 
2018/9/14, 33, 24, 26, 5, , 
2018/9/15, 51, 16, 34, 5, , 
2018/9/16, 36, 34, 44, 9, , 
2018/9/17, 52, 44, 56, 10, , 
2018/9/18, 55, 52, 49, 7, , 
2018/9/19, 66, 52, 42, 6, , 
2018/9/20, 61, 55, 41, 9, , 
2018/9/21, 62, 43, 28, 6, , 
2018/9/22, 55, 34, 25, 5, , 
2018/9/23, 58, 7, 28, 2, , 
2018/9/24, 18, 7, 29, 5, , 
2018/9/25, 15, 8, 28, 6, , 
2018/9/26, 20, 14, 25, 7, , 
2018/9/27, 28, 16, 25, 7, , 
2018/9/28, 37, 13, 26, 6, , 
2018/9/29, 26, 15, 31, 7, , 
2018/9/30, 37, 19, 22, 8, , 
2018/4/1, 59, 15, 31, 3, , 
2018/4/4, 40, 11, 34, 4, , 
2018/4/5, 31, 10, 35, 3, , 
2018/4/6, 24, 14, 41, 5, , 
2018/4/7, 35, 19, 39, 3, , 
2018/4/8, 50, 37, 40, 10, , 
2018/4/9, 69, 37, 42, 5, , 
2018/4/10, 74, 36, 27, 3, , 
2018/4/11, 78, 37, 40, 4, , 
2018/4/12, 81, 37, 32, 6, , 
2018/4/13, 81, 28, 31, 4, , 
2018/4/14, 72, 24, 46, 3, , 
2018/4/15, 75, 25, 22, 5, , 
2018/4/16, 64, 30, 39, 5, , 
2018/4/17, 76, 28, 45, 8, , 
2018/4/18, 65, 35, 42, 8, , 
2018/4/19, 73, 28, 47, 8, , 
2018/4/20, 62, 40, 42, 4, , 
2018/4/21, 66, 40, 44, 4, , 
2018/4/22, 77, 25, 38, 4, , 
2018/4/23, 60, 23, 25, 6, , 
2018/4/24, 57, 21, 31, 5, , 
2018/4/25, 61, 13, 31, 4, , 
2018/4/26, 39, 13, 39, 4, , 
2018/4/27, 34, 21, 43, 5, , 
2018/4/28, 52, 30, 47, 4, , 
2018/4/29, 61, 28, 37, 3, , 
2018/4/30, 59, 16, 34, 2, , 
2018/5/1, 31, 24, 29, 7, , 
2018/5/2, 38, 30, 39, 5, , 
2018/5/3, 54, 24, 41, 4, , 
2018/5/4, 37, 29, 43, 2, , 
2018/5/5, 33, 31, 38, 2, , 
2018/5/6, 37, 26, 42, 4, , 
2018/5/7, 40, 35, 46, 4, , 
2018/5/8, 45, 41, 45, 4, , 
2018/5/9, 49, 38, 44, 4, , 
2018/5/10, 64, 30, 31, 2, , 
2018/5/11, 66, 30, 44, 3, , 
2018/5/12, 64, 36, 53, 2, , 
2018/5/13, 64, 35, 47, 3, , 
2018/5/14, 53, 36, 43, 4, , 
2018/5/15, 56, 26, 39, 4, , 
2018/5/16, 61, 28, 38, 4, , 
2018/5/17, 68, 25, 25, 3, , 
2018/5/18, 63, 31, 36, 2, , 
2018/5/19, 67, 24, 40, 1, , 
2018/5/20, 39, 21, 45, 2, , 
2018/5/21, 31, 24, 52, 5, , 
2018/5/22, 37, 28, 46, 3, , 
2018/5/23, 39, 29, 46, 2, , 
2018/5/24, 34, 30, 45, 2, , 
2018/5/25, 43, 33, 46, 2, , 
2018/5/26, 43, 30, 53, 2, , 
2018/5/27, 60, 31, 65, 5, , 
2018/5/28, 60, 37, 66, 4, , 
2018/5/29, 59, 41, 61, 4, , 
2018/5/30, 51, 37, 66, 5, , 
2018/5/31, 66, 39, 57, 3, , 
2018/6/1, 64, 30, 38, 4, , 
2018/6/2, 70, 27, 37, 2, , 
2018/6/3, 79, 26, 44, 4, , 
2018/6/4, 66, 29, 36, 2, , 
2018/6/5, 67, 26, 39, 3, , 
2018/6/6, 47, 25, 55, 4, , 
2018/6/7, 38, 33, 60, 4, , 
2018/6/8, 40, 29, 67, 3, , 
2018/6/9, 38, 34, 44, 3, , 
2018/6/10, 60, 24, 39, 2, , 
2018/6/11, 61, 21, 32, 2, , 
2018/6/12, 44, 17, 25, 2, , 
2018/6/13, 36, 18, 40, 2, , 
2018/6/14, 31, 34, 35, 3, , 
2018/6/15, 51, 36, 46, 3, , 
2018/6/16, 60, 28, 41, 3, , 
2018/6/17, 63, 25, 35, 3, , 
2018/6/18, 50, 21, 35, 2, , 
2018/6/19, 49, 20, 38, 3, , 
2018/6/20, 48, 25, 31, 4, , 
2018/6/21, 46, 13, 30, 1, , 
2018/6/22, 22, 13, 29, 1, , 
2018/6/23, 27, 10, 22, 2, , 
2018/6/24, 28, 12, 27, 1, , 
2018/6/25, 39, 17, 27, 2, , 
2018/6/26, 51, 12, 36, 1, , 
2018/6/27, 34, 16, 40, 2, , 
2018/6/28, 29, 19, 44, 3, , 
2018/6/29, 34, 15, 29, 1, , 
2018/6/30, 21, 13, 31, 1, , 
2018/2/13, 61, 18, 23, 11, , 
2018/2/14, 78, 27, 21, 18, , 
2018/2/15, 81, 26, 17, 8, , 
2018/2/16, 69, 21, 21, 8, , 
2018/2/17, 75, 25, 16, 9, , 
2018/2/18, 62, 18, 24, 5, , 
2018/2/19, 57, 21, 21, 10, , 
2018/2/20, 81, 33, 26, 9, , 
2018/2/21, 83, 28, 26, 8, , 
2018/2/22, 66, 20, 27, 6, , 
2018/2/23, 64, 21, 25, 5, , 
2018/2/24, 58, 16, 31, 3, , 
2018/2/25, 34, 10, 29, 3, , 
2018/2/26, 43, 11, 30, 5, , 
2018/2/27, 44, 15, 29, 6, , 
2018/2/28, 59, 24, 29, 4, , 
2018/3/1, 67, 25, 29, 4, , 
2018/3/2, 79, 37, 28, 6, , 
2018/3/3, 98, 42, 30, 6, , 
2018/3/4, 103, 47, 32, 9, , 
2018/3/5, 125, 48, 26, 12, , 
2018/3/6, 118, 48, 28, 14, , 
2018/3/7, 123, 43, 23, 8, , 
2018/3/8, 104, 36, 26, 8, , 
2018/3/9, 64, 22, 28, 7, , 
2018/3/10, 71, 23, 14, 12, , 
2018/3/11, 69, 20, 27, 5, , 
2018/3/12, 69, 26, 22, 11, , 
2018/3/13, 59, 16, 22, 6, , 
2018/3/14, 42, 11, 24, 4, , 
2018/3/15, 54, 16, 25, 4, , 
2018/3/16, 64, 19, 29, 3, , 
2018/3/17, 40, 12, 31, 2, , 
2018/3/18, 48, 20, 34, 2, , 
2018/3/19, 53, 16, 33, 6, , 
2018/3/20, 54, 16, 29, 7, , 
2018/3/21, 42, 11, 32, 7, , 
2018/3/22, 57, 19, 24, 9, , 
2018/3/23, 55, 16, 23, 10, , 
2018/3/24, 57, 20, 27, 7, , 
2018/3/25, 64, 34, 36, 8, , 
2018/3/26, 88, 28, 30, 6, , 
2018/3/27, 61, 17, 34, 7, , 
2018/3/28, 58, 23, 22, 10, , 
2018/3/29, 69, 19, 30, 6, , 
2018/3/30, 56, 14, 33, 4, , 
2018/3/31, 64, 17, 25, 3, , 
2021/6/5, , 27, 46, 1, 1, 
2021/6/6, , 26, 42, 2, 1, 
2021/6/11, , 24, 30, 1, , 
2021/6/27, , 30, 45, 4, 1, 
2021/1/23, , 12, 17, 4, , 
2020/10/10, , 6, 25, 3, 1, 
2020/10/11, , 11, 23, 5, 1, 
2020/12/28, , 15, 15, 7, , 
2020/12/29, , 9, 12, 6, , 
2020/12/30, , 10, 16, 5, , 
2020/7/9, , 9, , 2, , 
2020/3/31, , 8, 34, 7, , 
2019/12/31, , 24, 16, 7, , 
2019/11/21, , 21, 4, 9, , 
2019/6/10, , 22, 47, 4, 1, 
2019/6/11, , 19, 51, 3, 1, 
2018/12/31, , 14, 33, 2, , 
2018/4/2, , 11, 33, 5, , 
2018/4/3, , 17, 38, 7, , 
2018/1/1, , 5, 30, 3, , 
2018/1/2, , 7, 20, 5, , 
2018/1/3, , 3, 28, 4, , 
2018/1/4, , 6, 28, 4, , 
2018/1/5, , 5, 26, 5, , 
2018/1/6, , 11, 19, 7, , 
2018/1/7, , 10, 22, 3, , 
2018/1/8, , 11, 21, 5, , 
2018/1/9, , 19, 18, 9, , 
2018/1/10, , 30, 5, 12, , 
2018/1/11, , 23, , 8, , 
2018/1/12, , 29, 4, 8, , 
2018/1/13, , 23, 20, 5, , 
2018/1/14, , 19, 17, 5, , 
2018/1/15, , 20, 14, 6, , 
2018/1/16, , 6, 24, 6, , 
2018/1/17, , 7, 24, 6, , 
2018/1/18, , 4, 25, 4, , 
2018/1/19, , 10, 22, 6, , 
2018/1/20, , 14, 17, 8, , 
2018/1/21, , 19, 15, 6, , 
2018/1/22, , 18, 18, 7, , 
2018/1/23, , 24, 13, 10, , 
2018/1/24, , 6, 17, 5, , 
2018/1/25, , 6, 23, 8, , 
2018/1/26, , 11, 20, 7, , 
2018/1/27, , 21, 19, 5, , 
2018/1/28, , 11, 21, 3, , 
2018/1/29, , 5, 26, 3, , 
2018/1/30, , 6, 28, 3, , 
2018/1/31, , 8, 20, 7, , 
2018/2/1, , 6, 29, 5, , 
2018/2/2, , 9, 18, 7, , 
2018/2/3, , 10, 17, 4, , 
2018/2/4, , 12, 18, 3, , 
2018/2/5, , 12, 27, 5, , 
2018/2/6, , 16, 25, 10, , 
2018/2/7, , 31, 17, 9, , 
2018/2/8, , 38, 21, 11, , 
2018/2/9, , 40, 17, 16, , 
2018/2/10, , 41, 15, 12, , 
2018/2/11, , 17, 21, 6, , 
2018/2/12, , 11, 23, 7, , 
2017/10/20, , 31, 12, 6, , 
2017/10/21, , 13, 21, 2, , 
2017/10/22, , 9, 14, 5, , 
2017/10/23, , 13, 16, 4, , 
2017/10/24, , 15, 19, 3, , 
2017/10/25, , 10, 18, 3, , 
2017/10/26, , 12, 21, 1, , 
2017/10/27, , 6, 22, 1, , 
2017/10/28, , 5, 29, 1, , 
2017/10/29, , 2, 24, 2, , 
2017/10/30, , 5, 21, 2, , 
2017/10/31, , 8, 12, 6, , 
2017/11/1, , 16, 17, 6, , 
2017/11/2, , 15, 21, 6, , 
2017/11/3, , 15, 14, 6, , 
2017/11/4, , 21, 18, 3, , 
2017/11/5, , 17, 18, 5, , 
2017/11/6, , 13, 18, 4, , 
2017/11/7, , 10, 13, 6, , 
2017/11/8, , 31, 13, 7, , 
2017/11/9, , 34, 20, 7, , 
2017/11/10, , 14, 28, 3, , 
2017/11/11, , 5, 21, 4, , 
2017/11/12, , 9, 17, 5, , 
2017/11/13, , 9, 16, 8, , 
2017/11/14, , 11, 7, 10, , 
2017/11/15, , 15, 7, 9, , 
2017/11/16, , 21, 23, 8, , 
2017/11/17, , 15, 8, 7, , 
2017/11/20, , 8, 10, 9, , 
2017/11/21, , 10, 13, 7, , 
2017/11/22, , 11, 16, 8, , 
2017/11/23, , 11, 17, 8, , 
2017/11/24, , 10, 20, 5, , 
2017/11/25, , 8, 16, 6, , 
2017/11/26, , 14, 19, 5, , 
2017/11/27, , 8, 18, 6, , 
2017/11/28, , 3, 15, 11, , 
2017/11/29, , 14, 6, 12, , 
2017/11/30, , 21, 8, 9, , 
2017/12/1, , 19, 9, 6, , 
2017/12/2, , 15, 9, 7, , 
2017/12/3, , 16, 24, 5, , 
2017/12/4, , 7, 21, 4, , 
2017/12/5, , 7, 23, 4, , 
2017/12/6, , 12, 22, 6, , 
2017/12/7, , 10, 23, 5, , 
2017/12/8, , 7, 21, 5, , 
2017/12/9, , 7, 23, 4, , 
2017/12/10, , 7, 20, 8, , 
2017/12/11, , 9, 20, 6, , 
2017/12/12, , 5, 18, 6, , 
2017/12/13, , 9, 23, 6, , 
2017/12/14, , 3, 18, 10, , 
2017/12/15, , 12, 16, 8, , 
2017/12/16, , 18, 19, 4, , 
2017/12/17, , 7, 8, 11, , 
2017/12/18, , 11, 5, 12, , 
2017/12/19, , 17, 7, 12, , 
2017/12/20, , 14, 18, 8, , 
2017/12/21, , 8, 21, 4, , 
2017/12/22, , 10, 19, 4, , 
2017/12/23, , 10, 22, 2, , 
2017/12/24, , 11, 24, 3, , 
2017/12/25, , 4, 21, 4, , 
2017/12/26, , 6, 18, 7, , 
2017/12/27, , 9, 20, 6, , 
2017/12/28, , 11, 16, 6, , 
2017/12/29, , 12, 22, 4, , 
2017/12/30, , 7, 22, 2, , 
2017/12/31, , 10, , , , 
2016/12/8, , 30, 13, 9, 10, 
2016/12/9, , 19, 12, 11, 12, 
2016/12/10, , 23, 25, 18, 20, 
2016/12/11, , 35, , , , 
2016/4/1, , 7, 29, 2, , 
2016/4/2, , 10, 28, 4, , 
2016/4/3, , 21, 24, 14, , 
2016/4/4, , 39, 27, 9, , 
2016/4/5, , 37, 28, 9, 31, 
2016/4/6, , 29, 28, 29, 32, 
2016/4/7, , 54, 26, 22, 24, 
2016/4/8, , 43, 31, 24, 27, 
2016/4/9, , 44, 32, 29, 32, 
2016/4/10, , 53, 25, 23, 26, 
2016/4/11, , 46, 11, 10, 12, 
2016/4/12, , 23, 31, 23, 26, 
2016/4/13, , 43, 26, 24, 26, 
2016/4/14, , 47, 22, 18, 20, 
2016/4/15, , 37, 25, 23, 25, 
2016/4/16, , 45, 29, 30, 33, 
2016/4/17, , 55, 30, 28, 32, 
2016/4/18, , 53, 29, 31, 34, 
2016/4/19, , 57, 28, 29, 32, 
2016/4/20, , 55, 31, 30, 34, 
2016/4/21, , 56, 28, 28, 32, 
2016/4/22, , 54, 29, 28, 31, 
2016/4/23, , 53, 28, 28, 32, 
2016/4/24, , 54, 29, 28, 31, 
